"filename", "language", "Python", "comment", "blank", "total"
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/__init__.py", "Python", 0, 0, 1, 1
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/api/__init__.py", "Python", 0, 0, 1, 1
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/api/registration.py", "Python", 0, 0, 1, 1
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/api/service.py", "Python", 20, 12, 13, 45
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/api/validation/__init__.py", "Python", 0, 0, 1, 1
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/api/validation/errors.py", "Python", 5, 1, 4, 10
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/api/validation/pipelines/__init__.py", "Python", 0, 0, 1, 1
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/api/validation/pipelines/asset_pipeline.py", "Python", 17, 5, 4, 26
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/api/validation/pipelines/asset_version_pipeline.py", "Python", 17, 6, 4, 27
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/api/validation/rules/__init__.py", "Python", 0, 0, 1, 1
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/api/validation/rules/asset_rules.py", "Python", 37, 4, 21, 62
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/api/validation/rules/asset_version_rules.py", "Python", 49, 4, 21, 74
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/api/validation/validation.py", "Python", 16, 27, 15, 58
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/models/__init__.py", "Python", 0, 0, 1, 1
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/models/asset.py", "Python", 8, 6, 5, 19
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/models/asset_version.py", "Python", 11, 6, 6, 23
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/models/enums.py", "Python", 19, 3, 10, 32
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/storage/__init__.py", "Python", 0, 0, 1, 1
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/storage/sqlite_database.py", "Python", 108, 113, 48, 269
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/tests/test_asset_validation_rules.py", "Python", 45, 24, 35, 104
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/tests/test_assets.py", "Python", 14, 5, 12, 31
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/tests/test_build_default_pipelines.py", "Python", 40, 21, 25, 86
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/tests/test_enums.py", "Python", 12, 3, 10, 25
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/tests/test_sqlite_database.py", "Python", 135, 51, 60, 246
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/tests/test_version_validation_rules.py", "Python", 44, 23, 33, 100
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/tests/test_versions.py", "Python", 18, 9, 14, 41
"/Users/napoleonfulinarajr/Documents/Github/Repositories/otherworld-asset-service/otherworld_asset_service/ui/__init__.py", "Python", 0, 0, 1, 1
"Total", "-", 615, 323, 349, 1287
